EPCI_Siren,aldo_biomass_category,biomass_carbon_content
200072684,prairies zones arborées,48
200072692,prairies zones arborées,48
200072700,prairies zones arborées,48
200072718,prairies zones arborées,48
200072726,prairies zones arborées,48
200072734,prairies zones arborées,48
200072825,prairies zones arborées,48
200072874,prairies zones arborées,48
200072882,prairies zones arborées,48
200072981,prairies zones arborées,48
200072999,prairies zones arborées,48
200073013,prairies zones arborées,48
200073096,prairies zones arborées,57
200073104,prairies zones arborées,44
200073112,prairies zones arborées,48
200073120,prairies zones arborées,44
200073138,prairies zones arborées,44
200073146,prairies zones arborées,44
200073161,prairies zones arborées,48
200073237,prairies zones arborées,48
200073245,prairies zones arborées,57
200073252,prairies zones arborées,44
200073260,prairies zones arborées,48
200073344,prairies zones arborées,48
200073393,prairies zones arborées,57
200073401,prairies zones arborées,57
200073419,prairies zones arborées,57
200073427,prairies zones arborées,57
240100578,prairies zones arborées,57
240100610,prairies zones arborées,57
240100750,prairies zones arborées,57
240100800,prairies zones arborées,57
240100883,prairies zones arborées,57
240100891,prairies zones arborées,57
240200444,prairies zones arborées,48
240200469,prairies zones arborées,48
240200477,prairies zones arborées,48
240200493,prairies zones arborées,48
240200501,prairies zones arborées,48
240200519,prairies zones arborées,48
240200576,prairies zones arborées,48
240200584,prairies zones arborées,48
240200592,prairies zones arborées,48
240200600,prairies zones arborées,48
240200634,prairies zones arborées,48
240300491,prairies zones arborées,57
240300558,prairies zones arborées,57
240300566,prairies zones arborées,57
240300657,prairies zones arborées,57
240400440,prairies zones arborées,44
240500439,prairies zones arborées,44
240500462,prairies zones arborées,44
240600551,prairies zones arborées,44
240600585,prairies zones arborées,44
240600593,prairies zones arborées,44
240700302,prairies zones arborées,57
240700617,prairies zones arborées,57
240700716,prairies zones arborées,57
240700815,prairies zones arborées,57
240700864,prairies zones arborées,57
240800821,prairies zones arborées,48
240800847,prairies zones arborées,48
240800862,prairies zones arborées,48
240800920,prairies zones arborées,48
240900431,prairies zones arborées,44
240900464,prairies zones arborées,44
241000223,prairies zones arborées,48
241000405,prairies zones arborées,48
241000447,prairies zones arborées,48
241000488,prairies zones arborées,48
241100593,prairies zones arborées,44
241200187,prairies zones arborées,44
241200542,prairies zones arborées,44
241200567,prairies zones arborées,44
241200625,prairies zones arborées,44
241200641,prairies zones arborées,44
241200658,prairies zones arborées,44
241200674,prairies zones arborées,44
241200765,prairies zones arborées,44
241200807,prairies zones arborées,44
241200906,prairies zones arborées,44
241200914,prairies zones arborées,44
241300375,prairies zones arborées,44
241300417,prairies zones arborées,44
241400415,prairies zones arborées,48
241400514,prairies zones arborées,48
241400555,prairies zones arborées,48
241400761,prairies zones arborées,48
241400860,prairies zones arborées,48
241400878,prairies zones arborées,48
241500230,prairies zones arborées,57
241500255,prairies zones arborées,57
241500271,prairies zones arborées,57
241501055,prairies zones arborées,57
241501089,prairies zones arborées,57
241501139,prairies zones arborées,57
241600303,prairies zones arborées,31
241700434,prairies zones arborées,31
241700459,prairies zones arborées,31
241700517,prairies zones arborées,31
241700624,prairies zones arborées,31
241700632,prairies zones arborées,31
241700640,prairies zones arborées,31
241700699,prairies zones arborées,31
241800325,prairies zones arborées,48
241800374,prairies zones arborées,48
241800424,prairies zones arborées,48
241800432,prairies zones arborées,48
241800457,prairies zones arborées,48
241800507,prairies zones arborées,48
241900133,prairies zones arborées,31
241927201,prairies zones arborées,31
241927243,prairies zones arborées,31
242000354,prairies zones arborées,44
242000495,prairies zones arborées,44
242000503,prairies zones arborées,44
242010056,prairies zones arborées,44
242010130,prairies zones arborées,44
242020071,prairies zones arborées,44
242020105,prairies zones arborées,44
242100154,prairies zones arborées,48
242100410,prairies zones arborées,48
242101434,prairies zones arborées,48
242101442,prairies zones arborées,48
242101459,prairies zones arborées,48
242101491,prairies zones arborées,48
242101509,prairies zones arborées,48
242200715,prairies zones arborées,48
242400752,prairies zones arborées,31
242400935,prairies zones arborées,31
242401024,prairies zones arborées,31
242500320,prairies zones arborées,48
242500338,prairies zones arborées,48
242500361,prairies zones arborées,48
242504116,prairies zones arborées,48
242504181,prairies zones arborées,48
242504355,prairies zones arborées,48
242504371,prairies zones arborées,48
242504447,prairies zones arborées,48
242504488,prairies zones arborées,48
242504496,prairies zones arborées,48
242600252,prairies zones arborées,57
242600492,prairies zones arborées,57
242600534,prairies zones arborées,57
242700276,prairies zones arborées,48
242700607,prairies zones arborées,48
242700623,prairies zones arborées,48
242852465,prairies zones arborées,48
242900074,prairies zones arborées,48
242900314,prairies zones arborées,48
242900553,prairies zones arborées,48
242900561,prairies zones arborées,48
242900629,prairies zones arborées,48
242900645,prairies zones arborées,48
242900660,prairies zones arborées,48
242900694,prairies zones arborées,48
242900702,prairies zones arborées,48
242900710,prairies zones arborées,48
242900744,prairies zones arborées,48
242900751,prairies zones arborées,48
242900769,prairies zones arborées,48
242900793,prairies zones arborées,48
242900801,prairies zones arborées,48
242900835,prairies zones arborées,48
243000270,prairies zones arborées,44
243000296,prairies zones arborées,44
243000569,prairies zones arborées,44
243000585,prairies zones arborées,44
243000593,prairies zones arborées,44
243000643,prairies zones arborées,44
243000650,prairies zones arborées,44
243000684,prairies zones arborées,44
243100518,prairies zones arborées,44
243100567,prairies zones arborées,44
243100633,prairies zones arborées,44
243100732,prairies zones arborées,44
243100773,prairies zones arborées,44
243100781,prairies zones arborées,44
243100815,prairies zones arborées,44
243200391,prairies zones arborées,44
243200409,prairies zones arborées,44
243200417,prairies zones arborées,44
243200425,prairies zones arborées,44
243200458,prairies zones arborées,44
243200508,prairies zones arborées,44
243200599,prairies zones arborées,44
243200607,prairies zones arborées,44
243300316,prairies zones arborées,31
243300563,prairies zones arborées,31
243300811,prairies zones arborées,31
243301165,prairies zones arborées,31
243301181,prairies zones arborées,31
243301215,prairies zones arborées,31
243301223,prairies zones arborées,31
243301249,prairies zones arborées,31
243301264,prairies zones arborées,31
243301355,prairies zones arborées,31
243301371,prairies zones arborées,31
243301389,prairies zones arborées,31
243301397,prairies zones arborées,31
243301405,prairies zones arborées,31
243301439,prairies zones arborées,31
243301447,prairies zones arborées,31
243301454,prairies zones arborées,31
243301504,prairies zones arborées,31
243400017,prairies zones arborées,44
243400355,prairies zones arborées,44
243400470,prairies zones arborées,44
243400488,prairies zones arborées,44
243400520,prairies zones arborées,44
243400694,prairies zones arborées,44
243400736,prairies zones arborées,44
243400769,prairies zones arborées,44
243400819,prairies zones arborées,44
243500139,prairies zones arborées,48
243500550,prairies zones arborées,48
243500618,prairies zones arborées,48
243500634,prairies zones arborées,48
243500659,prairies zones arborées,48
243500667,prairies zones arborées,48
243500725,prairies zones arborées,48
243500733,prairies zones arborées,48
243500741,prairies zones arborées,48
243500774,prairies zones arborées,48
243500782,prairies zones arborées,48
243600202,prairies zones arborées,48
243600236,prairies zones arborées,48
243600293,prairies zones arborées,48
243600301,prairies zones arborées,48
243600319,prairies zones arborées,48
243600327,prairies zones arborées,48
243600343,prairies zones arborées,48
243600350,prairies zones arborées,48
243700499,prairies zones arborées,48
243700754,prairies zones arborées,48
243700820,prairies zones arborées,48
243800455,prairies zones arborées,57
