CODGEO,LIBGEO,EPCI,LIBEPCI,NATURE_EPCI
77470,Tournan-en-Brie,ZZZZZZZZZ,nd,nd
77471,Tousson,200030104,CC les Terres du Gâtinais,CC
77472,La Trétoire,200027225,CC la Brie des Morin,CC
77473,Treuzy-Levelay,247700032,CC Moret Seine et Loing,CC
77474,Trilbardou,247700628,CA du Pays de Meaux,CA
77475,Trilport,247700628,CA du Pays de Meaux,CA
77476,Trocy-en-Multien,247700065,CC du Pays de l'Ourcq,CC
77477,Ury,200030104,CC les Terres du Gâtinais,CC
77478,Ussy-sur-Marne,247700024,CC du Pays Fertois,CC
77479,Vaires-sur-Marne,247700677,CA Marne et Chantereine,CA
77480,Valence-en-Brie,247700040,CC Vallées et Châteaux,CC
77481,Vanvillé,247700701,CC Brie Nangissienne,CC
77482,Varennes-sur-Seine,247700107,CC des Deux Fleuves,CC
77483,Varreddes,247700628,CA du Pays de Meaux,CA
77484,Vaucourtois,247700438,CC du Pays Créçois,CC
77485,Le Vaudoué,200030104,CC les Terres du Gâtinais,CC
77486,Vaudoy-en-Brie,247700651,CC les Sources de l'Yerres,CC
77487,Vaux-le-Pénil,247700057,CA Melun Val de Seine,CA
77489,Vaux-sur-Lunain,200023919,CC Gâtinais Val de Loing,CC
77490,Vendrest,247700065,CC du Pays de l'Ourcq,CC
77491,Veneux-les-Sablons,247700032,CC Moret Seine et Loing,CC
77492,Verdelot,200027225,CC la Brie des Morin,CC
77493,Verneuil-l'Étang,247700693,CC la Brie Centrale,CC
77494,Vernou-la-Celle-sur-Seine,247700032,CC Moret Seine et Loing,CC
77495,Vert-Saint-Denis,247700370,SAN Sénart Ville Nouvelle,SAN
77496,Vieux-Champagne,247700701,CC Brie Nangissienne,CC
77498,Vignely,247700628,CA du Pays de Meaux,CA
77500,Villebéon,200023919,CC Gâtinais Val de Loing,CC
77501,Villecerf,247700032,CC Moret Seine et Loing,CC
77504,Villemaréchal,247700032,CC Moret Seine et Loing,CC
77505,Villemareuil,247700438,CC du Pays Créçois,CC
77506,Villemer,247700032,CC Moret Seine et Loing,CC
77507,Villenauxe-la-Petite,247700099,CC de la Bassée,CC
77508,Villeneuve-le-Comte,247700487,CC de la Brie Boisée,CC
77509,Villeneuve-les-Bordes,247700537,CC du Montois,CC
77510,Villeneuve-Saint-Denis,247700487,CC de la Brie Boisée,CC
77511,Villeneuve-sous-Dammartin,247700073,CC du Pays de la Goële et du Multien,CC
77512,Villeneuve-sur-Bellot,200027225,CC la Brie des Morin,CC
77513,Villenoy,247700628,CA du Pays de Meaux,CA
77514,Villeparisis,ZZZZZZZZZ,nd,nd
77515,Villeroy,200030500,CC des Portes de la Brie,CC
77516,Ville-Saint-Jacques,247700032,CC Moret Seine et Loing,CC
77517,Villevaudé,200030500,CC des Portes de la Brie,CC
77518,Villiers-en-Bière,247700586,CC du Pays de Bière,CC
77519,Villiers-Saint-Georges,247700669,CC du Provinois,CC
77520,Villiers-sous-Grez,200030104,CC les Terres du Gâtinais,CC
77521,Villiers-sur-Morin,247700438,CC du Pays Créçois,CC
77522,Villiers-sur-Seine,247700099,CC de la Bassée,CC
77523,Villuis,247700099,CC de la Bassée,CC
77524,Vimpelles,247700537,CC du Montois,CC
77525,Vinantes,247700305,CC Plaine de France,CC
77526,Vincy-Manoeuvre,247700065,CC du Pays de l'Ourcq,CC
77527,Voinsles,247700651,CC les Sources de l'Yerres,CC
77528,Voisenon,247700057,CA Melun Val de Seine,CA
77529,Voulangis,247700438,CC du Pays Créçois,CC
77530,Voulton,247700669,CC du Provinois,CC
77531,Voulx,247700479,CC du Bocage Gâtinais,CC
77532,Vulaines-lès-Provins,247700669,CC du Provinois,CC
77533,Vulaines-sur-Seine,247700602,CC Entre Seine et Forêt,CC
